Material_health;Product_circularity;Product_number;Product_description
0;0;705095700000;PME Sprinkles Fussball
0;0;705095400000;PME Sprinkles Dinosauier
0;0;705096100000;PME Glitzerndes Dekopuder Silber
0;0;705096300000;PME Glitzerndes Dekopuder Rot
0;0;705096200000;PME Glitzerndes Dekopuder Rosa 
0;0;705096000000;PME Glitzerndes Dekopuder Gold
0;0;705095900000;PME Glitzerndes Dekopuder Blau
0;0;705095300000;PME Cupcake Toppers Baby Shower Party
***;****;705802800000;PME Austecher für Fussbaltorte
*;****;705801200000;Mini Gugelhöpfli
***;****;705026900009;KROKUSTÜLLE
***;****;705026900002;LOCHTÜLLE 12MM
***;****;705026900001;ROSETTENTÜLLE 18MM
***;**;705034700001;SPRITZBEUTEL 35CM
***;**;705034700002;SPRITZBEUTEL 40CM
***;****;705026900003;STERNTÜLLE 12MM
***;****;705094000000;BACKFROMEN FUSSBALL
***;****;705030900000;TÜLLENADAPTER
***;****;705026900007;WOLKENTÜLLE
*;****;705092600000;24 CUP MINI MUFFIN PAN
*;**;705039100000;BACK-TRENNSPRAY
***;****;705099000000;
***;***;705033400000;GM TORTENBOX 30CM FSC
***;***;705033600000;GM TORTENPLATTE 22CM
***;***;705027300000;GM TORTENPLATTE 30CM
***;****;705093300000;Tortenring 20cm hoch verstellbar 18-32cm
***;****;705092700000;Tortenring 15cm hoch verstellbar 18-32cm
***;****;705093400000;TORTENRING 10CM
***;**;705005200000;BACKPINSEL MIT NYLONBORSTEN
***;****;704969300000;BACKRAHMEN ECKIG INOX 21 - 38,5 cm
***;***;704968400000;CAKE POP-STIELE 50 STK.
***;**;705091900000;EASY MUFFIN INKL. 12 SILIKON-FORMEN
***;**;703985400000;GM EINWEG-BF CAKE GROSS 6 STK.
***;**;705027400000;GM TEIGROLLER AUS BUCHENHOLZ FSC
***;****;705094900000;Pralinenförmchen Alu 40er Set
***;***;705801400000;PME Cup Kits Unicorn
***;***;705801500000;PME Cup Kits Mermaid
***;***;705801300000;PME Cup Kits Fussball
***;***;705801600000;PME Cup Kits Dino
***;***;705093200000;PAPIERBACKFÖRMCHEN HART KLEIN
***;***;705093100000;PAPIERBACKFÖRMCHEN HART GROSS
***;***;705802300000;MUFFINFÖRMCHEN METALLICFARBE X
***;***;705093700000;MUFFINFÖRMCHEN METALLICFARBE SILBER
***;***;705093500000;MUFFINFÖRMCHEN METALLICFARBE PINK
***;***;705093600000;MUFFINFÖRMCHEN METALLICFARBE HELLBLAU
***;***;705093800000;MUFFINFÖRMCHEN METALLICFARBE GRÜN
***;***;705094700000;Muffinform C
***;***;705094600000;Muffinform B
***;***;705094500000;Muffinform A 
***;***;705094200000;Minicake 
***;***;705094400000;Mini Muffinformen B
***;***;705094300000;Mini Muffinformen A
***;****;705092200000;PUDERZUCKERSTREUER
*;**;705054700000;RÜHRSCHÜSSEL 2L MIT GRIFF
*;**;705057800000;SCHÜSSELI MELAMIN 300ML
***;**;705091600000;SILIKON BACKFÖRMCHEN GROSS 12 STÜCK
***;**;705092000000;SILIKONFOERMCHEN GUGELHOPF 6 STK.
***;**;705092400000;SILIKONFOERMCHEN HERZ 6 STÜCK
***;***;705094800000;Pralinenförmchen 
***;***;705092100000;SILIKONFOERMCHEN MUFFIN 6 STK.
***;***;705801700000;Cup Kits Baby Shower Party
*;**;705057700000;TEIGSCHÜSSEL MELAMIN 4L
***;****;705093900000;BACKFORM DINO
***;**;704970900000;TORTENSCHNEIDER EDELSTAHL
***;**;703951100000;TORTENGLOCKE SAN WEISS
*;**;705091400000;EINWEG SPRITZSÄCKE TRANSPARENT
***;**;705099700000;Silikonbarkform Herz
***;****;705098700000;Muffin Backform für 12 Muffins
***;****;705098600000;Kuchenform 23x12,8 cm
***;****;705098900000;Backblech34,5x24,5 cm
***;****;705098800000;Auflaufform34,5 x 24,5 
*;*;705026800004;KUCHENBLECH 20CM RUND
*;*;705026800003;KUCHENBLECH 24CM RUND
*;*;705026800001;KUCHENBLECH 28CM RUND
*;*;705091700000;BROWNIE BACKFORM 25 CM X 18 CM
*;*;705099500000;BACKBLECH 41 X 26 CM
*;**;705099100000;Brotbackform ausziehbar 28-40cm
*;****;705099200000;Brotbackform oval
*;****;705027100000;CAKEFORM 20-35CM AUSZIEHBAR
*;****;705055600000;DONUT - UND BAGELFORM 12 ER
*;****;705098000000;Herzspringform gross
***;****;705026800002;KUCHENBLECH 32CM RUND
***;****;705026700004;KUCHENBLECH EMAIL 20cm
***;****;705026700003;KUCHENBLECH EMAIL 32cm
***;****;705026700001;KUCHENBLECH EMAIL Ø 24
***;****;705026700002;KUCHENBLECH EMAIL Ø 28
*;****;705055400000;MADELEINES BACKFORM
*;****;705026600000;SPRINGFORM 24CM EMAIL
*;****;705056000000;SPRINGFORM EXTRA HOCH
*;****;705056100000;SPRINGFORM Ø 26 MIT DECKEL
*;**;705091800000;TEFLON-PINSEL 2ER-SET
***;***;705066700000;TEIGSCHABER SET
***;****;705098500000;Teigschneider
***;****;705031900000;KUCHENSPACHTEL INOX 18/8
***;****;705032500000;TORTENHEBER INOX 18/8
***;****;705023300000;CUPCAKE KUCHENTESTER
***;****;705098200000;Mini Springform 
***;****;705098100000;Mini Herzspringform 
***;****;705801800000;Austecher Set Unicorn
***;****;705801900000;Austecher Set Mermaid
***;****;705802000000;Austecher Set Fussball
***;****;705802100000;Austecher Set Dino
***;****;705802200000;Ausstechformen Set Baby Shower Party
*;**;705098300000;Melamin Mixbecher
***;****;703946800000;AUSSTECHFORMEN KREISE 10 STK
***;**;704974200000;BACKBLECH AUSZIEHBAR 37-52CM
***;**;705025200000;BACKBLECH FUER FERTIGTEIG 41 X 26 CM
***;****;705092300000;DEKORIERFLASCHE AUS SILIKON MIT TÜLLEN
***;****;704975600000;MINI MUFFINFORM 12 STK
***;****;705068200000;PUDDINGFOERMCHEN 4 STK.
***;****;704974900000;QUICHEFORM 28CM MIT AUSSTOSSBAREM BODEN
***;**;705030500000;SILIKONBACKUNTERLAGE 30X40 CM
***;**;705067400000;SILIKONTEIGSCHABER GROSS
***;**;705067500000;SILIKONTEIGSCHABER KLEIN
***;****;705099600000;QUICHE- UND OBSTKUCHENFOR
***;****;703905200000;AUSKÜHLGITTER Ø 30
***;****;704969400000;FONDANT-GLÄTTER WEISS
***;****;705098400000;MEHLSCHABLONEN 4 ER SET
***;**;705028400000;SILIKON TEIGROLLER
*;**;705099300000;BAGUETTTE BACKFORM
*;*;703509200000; M-BUDGET KASSEROLLE 20 CM 
*;*;703505500000; M-BUDGET BRATPFANNE 28 CM FLACH
